"How much of the forecast was genuine and how much was fixed, it is a moot point.",neutral
"I did touch them one time you see but of course there was nothing doing, he wanted me.",neutral
We find that choice theorists admit that they introduce a style of moral paternalism at odds with liberal values.,neutral
"Well, here I am with an olive branch.",neutral
"Its rudder and fin were both knocked out, and a four-foot-long gash in the shell meant even repairs on the bank were out of the question.",neutral
Over my dead body are you arresting him.,anger
"Don't let him pick a fight now, we're almost home.",neutral
He's a good fighter but there are certain points you can pick holes in.,neutral
She left the citizens of Riverbank to their shouting match and struck off along the trail to the footpath.,neutral
This is turning into one of those mediaeval disputes which split hairs endlessly.,neutral
"So, you know, whilst I'm a little bit reluctant, in a way I think that's water under the bridge, and in my view actually the extension improves it all.",sadness
"In 1978, in an attempt to wipe the slate clean, Pinochet declared an amnesty to cover all human rights abuses since the coup.",neutral
"Doctors who tried to help the wounded were caught in the crossfire, and in some places ambulances also came under attack.",sadness
"Hitler, of course, was dead set against a war between Britain and Germany.",neutral
"They were always at it, hammer and tongs you know, they had what would be called something similar to a steam hammer..",anger
"For a brother and sister act, there was certainly no love lost between them.",surprise
Is that much ado about nothing really?,neutral
"Well, you weren't gonna argue the toss.",neutral
"Then, in 1981, all hell broke loose in the Cambridge English Faculty.",sadness
"Chantal hissed, her eyes locked on his in a battle of wills.",neutral
I've got a bone to pick with one club.,anger
"Someone was saying on television, one of those, er petrol weekend things, about all the black things, and they they were saying, you know, the black a black mood.",neutral
"It was only a suggestion, Robyn there's no need to blow a fuse.",anger
Blow a gasket.,neutral
"Dear Father Christmas, I have a bone to pick with you.",anger
"You sound cheesed off, what's the matter?",anger
For crying out loud.,anger
"I read the paper and I saw a glow worm in it, so I cut it out and gave it to him and he stuck it up in the factory.",surprise
"He was fit to be tied when I separated from Hugh, and he seems to blame me for the whole thing.",sadness
"Don't fly off the handle, Ma.",anger
"But notice kick the bucket appears as a verb phrase.
",neutral
It would get on my nerves.,anger
Oh will you give it a rest.,anger
"Just as he will not tolerate questions about his private life, so he will also go ballistic if bureacrats attempt to meddle in his creative decisions.",anger
